STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090115 12:00,0.01, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 02:00,0.02, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 03:00,0.01, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 04:00,0.04, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 05:00,0.05, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 06:00,0.04, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 07:00,0.05, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 08:00,0.08, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 09:00,0.09, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 10:00,0.09, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 11:00,0.13, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 12:00,0.08, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 13:00,0.07, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 14:00,0.01, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 15:00,0.01, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 16:00,0.02, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 17:00,0.12, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 18:00,0.05, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 19:00,0.01, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090128 20:00,0,T, 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090130 13:00,0,T, 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090201 01:00,0,g, 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090203 00:00,0,T, 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090203 01:00,0,T, 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090203 02:00,0.02, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090203 03:00,0,T, 
