Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,nodeX,nodeY,STREET1,STREET2
2,0,0,2,5,2016,28703,1011602.93,174539.0483,GLENWOOD ROAD,EAST 98 STREET
1,1,0,0,5,2016,38031,1052204.137,159910.9775,BEACH CHANNEL DRIVE,MOTT AVENUE
1,0,1,0,5,2016,28958,1015689.585,178369.933,VERMONT STREET,WORTMAN AVENUE
1,0,0,1,5,2016,46844,1018419.708,214225.6871,91 STREET,34 AVENUE
1,1,0,0,5,2016,22932,995022.2882,219470.0654,EAST 71 STREET,3 AVENUE
1,1,0,0,5,2016,34174,1037001.35,187000.6438,131 STREET,115 AVENUE
1,0,0,1,5,2016,22528,990305.8179,217267.7148,WEST 55 STREET,AVENUE OF THE AMERICAS
1,1,0,0,5,2016,43866,1005483.382,241803.5542,GERARD AVENUE,EAST 164 STREET
1,0,1,0,6,2016,19991,980632.9236,200300.1903,WARREN STREET,WEST STREET
1,0,1,0,6,2016,57324,1030672.298,243633.1765,EAST TREMONT AVENUE,PURITAN AVENUE
1,1,0,0,6,2016,8621,952098.4153,160393.5293,WESTWOOD AVENUE,FINE BOULEVARD
1,0,0,1,6,2016,40685,1001593.357,206612.077,REVIEW AVENUE,37 STREET
1,0,0,1,6,2016,54241,1023777.41,260553.6637,BRONXWOOD AVENUE,EAST 219 STREET
1,1,0,0,6,2016,21731,989277.025,223301.0131,BROADWAY,WEST 73 STREET
1,1,0,0,6,2016,55656,1033927.183,218034.3799,NORTHERN BOULEVARD,146 STREET
1,1,0,0,6,2016,49877,1021810.447,206724.2848,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD
1,0,1,0,6,2016,27573,1003983.923,193287.9343,HART STREET,EVERGREEN AVENUE
1,1,0,0,6,2016,53421,1020926.323,259051.4455,EAST GUN HILL ROAD,WHITE PLAINS ROAD
1,0,0,1,6,2016,29342,1013124.512,181378.3456,LIVONIA AVENUE,GEORGIA AVENUE
1,1,0,0,6,2016,23529,995634.5602,221618.3655,LEXINGTON AVENUE,EAST 79 STREET
1,0,0,1,6,2016,38540,1055964.828,172110.9728,BROOKVILLE BOULEVARD,ROCKAWAY BOULEVARD
1,1,0,0,6,2016,21554,989203.4153,219715.1607,BROADWAY,WEST 61 STREET
1,1,0,0,6,2016,21734,989425.8263,223826.0117,BROADWAY,WEST 75 STREET
3,0,0,3,6,2016,3394,934757.5238,157860.287,TRAVIS AVENUE,VICTORY BOULEVARD
1,1,0,0,6,2016,20853,987580.2069,209196.7313,EAST 23 STREET,MADISON AVENUE
1,1,0,0,6,2016,21381,987127.012,211529.7702,WEST 30 STREET,AVENUE OF THE AMERICAS
1,1,0,0,6,2016,26509,1007120.285,177671.4403,LINDEN BOULEVARD,CHURCH AVENUE
1,1,0,0,6,2016,21346,986568.1843,214236.8383,8 AVENUE,WEST 38 STREET
1,1,0,0,6,2016,15623,985813.8354,190749.3436,ATLANTIC AVENUE,CLINTON STREET
1,1,0,0,12,2016,133,915211.8037,125369.6338,MAIN STREET,CRAIG AVENUE
1,0,0,1,12,2016,54867,1033968.342,200375.4494,GRAND CENTRAL PARKWAY ET 14 EB,UNION TURNPIKE
1,1,0,0,12,2016,21281,985121.9996,215339.179,WEST 39 STREET,10 AVENUE
1,1,0,0,12,2016,41416,1001760.922,216128.8588,21 STREET,36 AVENUE
1,1,0,0,12,2016,28897,1014771.598,176526.5725,FLATLANDS AVENUE,LOUISIANA AVENUE
1,0,1,0,12,2016,21327,985733.081,219801.7025,WEST 55 STREET,12 AVENUE
1,1,0,0,12,2016,29309,1012441.626,186181.9512,SHEFFIELD AVENUE,JAMAICA AVENUE
1,1,0,0,12,2016,19748,997424.9011,192488.6377,NOSTRAND AVENUE,MYRTLE AVENUE
1,1,0,0,12,2016,48135,1014555.709,248585.4169,HUGHES AVENUE,EAST 180 STREET
1,1,0,0,12,2016,47622,1017371.665,238522.0876,STORY AVENUE,COLGATE AVENUE
1,0,0,1,12,2016,32533,1025311.065,198211.9137,METROPOLITAN AVENUE,70 DRIVE
1,0,0,1,12,2016,14181,987281.4244,172954.3041,40 STREET,12 AVENUE
1,1,0,0,12,2016,13521,985205.5361,167942.9135,60 STREET,NEW UTRECHT AVENUE
1,1,0,0,12,2016,19414,993007.4218,197131.9828,KENT AVENUE,SOUTH 11 STREET
1,0,0,1,7,2016,26907,1004800.966,181823.0229,EAST NEW YORK AVENUE,BUFFALO AVENUE
1,0,1,0,7,2016,25199,1004653.332,155733.1876,GERRITSEN AVENUE,DEVON AVENUE
1,1,0,0,7,2016,28123,1013396.755,144243.3848,MARSHALL ROAD,CENTER ROAD
1,1,0,0,7,2016,34279,1038518.771,187570.974,VAN WYCK EXPRESSWAY SR EAST,115 AVENUE
1,0,0,1,7,2016,53473,1021536.988,257120.1731,HOLLAND AVENUE,SOUTH OAK DRIVE
1,1,0,0,7,2016,51956,1020889.565,239808.1874,ROSEDALE AVENUE,BRUCKNER BOULEVARD
1,1,0,0,7,2016,13404,984016.2242,162469.0235,79 STREET,NEW UTRECHT AVENUE
1,0,0,1,7,2016,34105,1036739.04,186902.4517,130 STREET,115 AVENUE
1,1,0,0,7,2016,21235,984643.2636,217724.5413,WEST 46 STREET,12 AVENUE
1,0,1,0,7,2016,46674,1016090.09,210347.2893,WOODSIDE AVENUE,BROADWAY
1,1,0,0,7,2016,22813,994001.283,216160.6632,2 AVENUE,EAST 58 STREET
1,1,0,0,7,2016,44087,1007046.784,245787.2043,MACOMBS ROAD,PLAZA DRIVE
1,1,0,0,7,2016,47254,1011105.447,234165.1807,EAST 149 STREET,BRUCKNER BOULEVARD
1,1,0,0,7,2016,22098,996133.4601,201007.4429,BEDFORD AVENUE,NORTH 8 STREET
1,0,1,0,7,2016,19948,999332.5187,198493.0778,GRAND STREET,MANHATTAN AVENUE
1,1,0,0,8,2016,47579,1016698.212,239230.5541,BRUCKNER EXPRESSWAY EXIT 51 WB,BRUCKNER BOULEVARD
1,1,0,0,8,2016,41663,1005140.899,216757.2631,BROADWAY,32 STREET
1,1,0,0,8,2016,48414,1018455.223,241320.1628,WESTCHESTER AVENUE,MANOR AVENUE
1,1,0,0,8,2016,23360,991278.7553,228307.5776,WEST 93 STREET,WEST END AVENUE
1,0,0,1,8,2016,29376,1013036.598,186073.3162,NEW JERSEY AVENUE,FULTON STREET
1,0,0,1,8,2016,52612,1022499.46,245893.3327,EAST TREMONT AVENUE,DOGWOOD DRIVE
2,2,0,0,8,2016,29769,1018818.847,188044.6181,FULTON STREET,CHESTNUT STREET
1,1,0,0,8,2016,52535,1021896.803,248869.665,BARNES AVENUE,BRONXDALE AVENUE
1,1,0,0,8,2016,8414,959567.1501,154306.5796,ATLANTIC AVENUE,HYLAN BOULEVARD
1,1,0,0,8,2016,9171,959230.7465,161311.3457,NARROWS ROAD NORTH,RICHMOND ROAD
1,1,0,0,8,2016,14150,986092.0632,172900.3117,43 STREET,FT HAMILTON PARKWAY
1,1,0,0,8,2016,48409,1018109.741,240290.2107,WATSON AVENUE,BOYNTON AVENUE
1,0,1,0,8,2016,26690,1000887.817,180838.4218,ALBANY AVENUE,LEFFERTS AVENUE
1,1,0,0,8,2016,40160,1056199.631,195662.8571,MURDOCK AVENUE,SPRINGFIELD BOULEVARD
1,1,0,0,8,2016,25714,1005769.025,161455.8005,FLATBUSH AVENUE,AVENUE U
1,0,1,0,8,2016,61734,1051156.298,216984.195,223 STREET,NORTHERN BOULEVARD
1,1,0,0,8,2016,20911,988423.5382,206090.9166,2 AVENUE,EAST 14 STREET
1,1,0,0,8,2016,46770,1017132.355,214046.3531,86 STREET,34 AVENUE
1,1,0,0,8,2016,15812,986186.1444,199535.602,ALLEN STREET,DIVISION STREET
1,1,0,0,9,2016,108589,1030009.051,186102.099,CENTREVILLE STREET,103 STREET
1,1,0,0,9,2016,21533,989925.3889,216584.3336,WEST 52 STREET,AVENUE OF THE AMERICAS
