:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,date,latitude,location,location_address,location_city,location_state,location_zip,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
34,14788,54,62,3,QUEENS,Passing or Lane Usage Improper,Unspecified,,,,60-05     FLUSHING AVENUE               ,2017-09-15T00:00:00.000,40.719204,POINT (-73.90707 40.719204),,,,,-73.90707,0,0,0,0,0,0,0,0,,,12:30,3750838,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11378
20,14191,22,67,3,QUEENS,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.787785,POINT (-73.83825 40.787785),,,,,-73.83825,0,0,0,0,0,0,0,0,130 STREET,11 AVENUE                       ,18:00,3750834,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11356
51,12081,11,10,4,MANHATTAN,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,,2017-09-15T00:00:00.000,40.76234,POINT (-73.98236 40.76234),,,,,-73.98236,0,0,0,0,0,0,0,0,WEST 52 STREET,7 AVENUE                        ,4:23,3750165,TAXI,TAXI,,,,10019
,,,,,QUEENS,Unspecified,Unspecified,,,,25101     Jericho Tpke                  ,2017-09-15T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,,,14:00,3750826,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11426
3,13832,22,67,3,QUEENS,Turning Improperly,Unspecified,,,,,2017-09-15T00:00:00.000,40.768166,POINT (-73.82422 40.768166),,,,,-73.82422,0,0,0,0,0,0,0,0,33 AVENUE,PARSONS BOULEVARD               ,10:20,3750818,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11354
7,17617,9,45,2,,Fell Asleep,Unspecified,,,,,2017-09-15T00:00:00.000,40.662296,POINT (-73.98874 40.662296),,,,,-73.98874,0,0,0,0,0,0,0,0,,,16:00,3750812,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
29,10931,6,29,5,,Failure to Yield Right-of-Way,,,,,,2017-09-15T00:00:00.000,40.857697,POINT (-73.90652 40.857697),,,,,-73.90652,0,0,0,0,1,0,1,0,,GRAND AVENUE                    ,13:35,3750808,,,,,,
7,13515,9,45,2,,Backing Unsafely,Unspecified,,,,,2017-09-15T00:00:00.000,40.65799,POINT (-73.996925 40.65799),,,,,-73.996925,0,0,0,0,0,0,0,0,,5 AVENUE                        ,13:30,3750807,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
29,11272,24,34,5,,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.872345,POINT (-73.9064 40.872345),,,,,-73.9064,0,0,0,0,0,0,0,0,,,11:30,3751380,SPORT UTILITY / STATION WAGON,,,,,
4,16859,39,72,3,,Backing Unsafely,Unspecified,,,,,2017-09-15T00:00:00.000,40.771133,POINT (-73.92683 40.771133),,,,,-73.92683,0,0,0,0,0,0,0,0,,28 AVENUE                       ,9:25,3751505,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,,,,,MANHATTAN,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,W 182 ST,BROADWAY                        ,15:30,3750798,PASSENGER VEHICLE,,,,,10033
33,16858,53,66,3,QUEENS,Driver Inattention/Distraction,Unspecified,,,,25-20     SKILLMAN AVENUE               ,2017-09-15T00:00:00.000,40.74306,POINT (-73.943726 40.74306),,,,,-73.943726,0,0,0,0,0,0,0,0,,,9:20,3751272,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11101
47,15313,63,63,3,QUEENS,Driver Inattention/Distraction,Unspecified,Unspecified,,,130-48    FRANCIS LEWIS BOULEVARD       ,2017-09-15T00:00:00.000,40.680065,POINT (-73.73726 40.680065),,,,,-73.73726,0,0,0,0,0,0,0,0,,,1:00,3750122,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,11413
35,13093,7,16,4,MANHATTAN,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.79859,POINT (-73.933525 40.79859),,,,,-73.933525,0,0,0,0,0,0,0,0,1 AVENUE,EAST 120 STREET                 ,7:45,3750780,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,10035
15,13826,21,35,2,,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,,2017-09-15T00:00:00.000,40.577663,POINT (-73.961235 40.577663),,,,,-73.961235,0,0,0,0,0,0,0,0,,BRIGHTON BEACH AVENUE           ,15:10,3751299,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
39,13092,47,22,4,MANHATTAN,Unspecified,,,,,512       WEST 212 STREET               ,2017-09-15T00:00:00.000,40.867825,POINT (-73.91707 40.867825),,,,,-73.91707,0,0,0,0,0,0,0,0,,,15:00,3750775,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,10034
4,16863,39,72,3,QUEENS,Turning Improperly,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,21-34     BROADWAY                      ,2017-09-15T00:00:00.000,40.76509,POINT (-73.93148 40.76509),,,,,-73.93148,0,0,0,0,0,0,0,0,,,20:00,3751502,SPORT UTILITY / STATION WAGON,BICYCLE,,,,11106
39,13098,47,22,4,,Failure to Yield Right-of-Way,Unspecified,,,,,2017-09-15T00:00:00.000,40.85533,POINT (-73.93332 40.85533),,,,,-73.93332,0,0,0,0,0,0,0,0,,BROADWAY                        ,13:30,3750771,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
42,10934,34,25,5,,Backing Unsafely,Turning Improperly,Unspecified,,,,2017-09-15T00:00:00.000,40.83097,POINT (-73.905556 40.83097),,,,,-73.905556,0,0,1,0,0,0,1,0,,EAST 168 STREET                 ,10:15,3751338,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
26,13513,60,43,2,BROOKLYN,Unspecified,,,,,1170      OCEAN AVENUE                  ,2017-09-15T00:00:00.000,40.633892,POINT (-73.957954 40.633892),,,,,-73.957954,0,0,0,0,0,0,0,0,,,0:00,3750783,SPORT UTILITY / STATION WAGON,,,,,11230
,,,,,MANHATTAN,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,WEST 42 STREET,5th Ave                         ,8:00,3751476,PASSENGER VEHICLE,TAXI,,,,10017
50,12078,11,7,4,MANHATTAN,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.743942,POINT (-73.983635 40.743942),,,,,-73.983635,0,0,0,0,0,0,0,0,EAST 29 STREET,PARK AVENUE SOUTH               ,14:58,3751480,PASSENGER VEHICLE,VAN,,,,10016
33,16863,39,72,3,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.76769,POINT (-73.93619 40.76769),,,,,-73.93619,0,0,0,0,0,0,0,0,BROADWAY,VERNON BOULEVARD                ,17:04,3751500,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
4,16862,39,72,3,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.775734,POINT (-73.89584 40.775734),,,,,-73.89584,0,0,0,0,0,0,0,0,,46 STREET                       ,14:15,3751499,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,,,,,QUEENS,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,83 AVENUE,KEW GARDEN ROAD                 ,10:32,3750922,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11415
4,16862,39,72,3,QUEENS,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.781002,POINT (-73.916176 40.781002),,,,,-73.916176,0,0,0,0,0,0,0,0,21 DRIVE,21 STREET                       ,20:30,3751514,TAXI,PASSENGER VEHICLE,,,,11105
35,10929,50,27,5,,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,,2017-09-15T00:00:00.000,40.820515,POINT (-73.930695 40.820515),,,,,-73.930695,0,0,0,0,0,0,0,0,,EXTERIOR STREET                 ,16:35,3751519,PASSENGER VEHICLE,,,,,
15,17217,60,43,2,,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.619186,POINT (-73.9493 40.619186),,,,,-73.9493,0,0,0,0,0,0,0,0,,EAST 26 STREET                  ,17:20,3751522,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
26,17217,60,43,2,BROOKLYN,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.621994,POINT (-73.94598 40.621994),,,,,-73.94598,0,0,0,0,0,0,0,0,NOSTRAND AVENUE,AVENUE L                        ,16:30,3751525,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,11210
31,11269,35,31,5,,Other Vehicular,Other Vehicular,,,,,2017-09-15T00:00:00.000,40.836895,POINT (-73.8736 40.836895),,,,,-73.8736,0,0,0,0,0,0,0,0,BRONX RIVER PARKWAY,EAST 177 STREET                 ,15:00,3751534,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
43,11269,35,31,5,,Oversized Vehicle,Passing or Lane Usage Improper,,,,,2017-09-15T00:00:00.000,40.839973,POINT (-73.87811 40.839973),,,,,-73.87811,0,0,1,0,0,0,1,0,,EAST TREMONT AVENUE             ,18:00,3751541,PASSENGER VEHICLE,,,,,
20,14193,26,69,3,QUEENS,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.756664,POINT (-73.78282 40.756664),,,,,-73.78282,0,0,0,0,0,0,0,0,45 AVENUE,FRANCIS LEWIS BOULEVARD         ,14:15,3751567,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,11361
26,17217,60,43,2,BROOKLYN,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.636265,POINT (-73.94802 40.636265),,,,,-73.94802,0,0,0,0,0,0,0,0,FARRAGUT ROAD,NOSTRAND AVENUE                 ,16:45,3751586,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11210
2,11275,29,30,5,BRONX,Unspecified,Unspecified,,,,836       EAST 233 STREET               ,2017-09-15T00:00:00.000,40.892006,POINT (-73.85305 40.892006),,,,,-73.85305,0,0,0,0,0,0,0,0,,,18:24,3751598,PASSENGER VEHICLE,,,,,10466
2,11275,29,30,5,BRONX,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4207      WILDER AVENUE                 ,2017-09-15T00:00:00.000,40.89605,POINT (-73.842995 40.89605),,,,,-73.842995,0,0,0,0,0,0,0,0,,,18:00,3751603,PASSENGER VEHICLE,,,,,10466
40,11608,29,30,5,BRONX,Driver Inattention/Distraction,,,,,,2017-09-15T00:00:00.000,40.899185,POINT (-73.8562 40.899185),,,,,-73.8562,0,0,0,0,1,0,1,0,NEREID AVENUE,MATILDA AVENUE                  ,7:45,3751606,SPORT UTILITY / STATION WAGON,,,,,10470
14,10700,30,75,1,,Driver Inattention/Distraction,,,,,2122      RICHMOND AVENUE               ,2017-09-15T00:00:00.000,40.5957,POINT (-74.162 40.5957),,,,,-74.162,0,0,0,0,0,0,0,0,,,21:30,3751617,PASSENGER VEHICLE,,,,,
49,17618,69,51,2,BROOKLYN,Reaction to Other Uninvolved Vehicle,Unspecified,,,,,2017-09-15T00:00:00.000,40.680088,POINT (-73.94398 40.680088),,,,,-73.94398,0,0,0,0,0,0,0,0,BROOKLYN AVENUE,FULTON STREET                   ,16:50,3751618,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,11216
49,17618,69,51,2,BROOKLYN,Driver Inexperience,Unspecified,Unspecified,Unspecified,Unspecified,263       PUTNAM AVENUE                 ,2017-09-15T00:00:00.000,40.683846,POINT (-73.951706 40.683846),,,,,-73.951706,0,0,0,0,0,0,0,0,,,19:50,3751623,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,11216
22,10935,6,29,5,BRONX,Unspecified,,,,,,2017-09-15T00:00:00.000,40.85407,POINT (-73.89932 40.85407),,,,,-73.89932,0,0,0,0,0,0,0,0,EAST 181 STREET,VALENTINE AVENUE                ,13:09,3751655,PASSENGER VEHICLE,,,,,10457
14,10700,30,75,1,,Backing Unsafely,Unspecified,,,,53        ELSON STREET                  ,2017-09-15T00:00:00.000,40.617317,POINT (-74.16619 40.617317),,,,,-74.16619,0,0,0,0,0,0,0,0,,,16:50,3751694,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
40,11609,48,33,5,BRONX,Unspecified,Unspecified,,,,5669      RIVERDALE AVENUE              ,2017-09-15T00:00:00.000,40.906204,POINT (-73.90429 40.906204),,,,,-73.90429,0,0,0,0,0,0,0,0,,,17:25,3751712,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,10471
29,11272,48,33,5,,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.87626,POINT (-73.90395 40.87626),,,,,-73.90395,0,0,0,0,0,0,0,0,,BAILEY AVENUE                   ,18:30,3751721,SPORT UTILITY / STATION WAGON,,,,,
27,16865,14,48,2,BROOKLYN,Unsafe Lane Changing,Unspecified,,,,,2017-09-15T00:00:00.000,40.68966,POINT (-74.00047 40.68966),,,,,-74.00047,0,0,0,0,0,0,0,0,CONGRESS STREET,COLUMBIA STREET                 ,16:52,3751744,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11201
47,24669,63,63,3,QUEENS,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.65771,POINT (-73.76757 40.65771),,,,,-73.76757,0,0,0,0,0,0,0,0,149 ROAD,BREWER BOULEVARD                ,8:30,3750616,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,11434
50,11723,70,4,4,MANHATTAN,Unsafe Lane Changing,Unspecified,,,,,2017-09-15T00:00:00.000,40.720966,POINT (-73.98218 40.720966),,,,,-73.98218,0,0,1,0,0,0,1,0,RIDGE STREET,EAST HOUSTON STREET             ,17:45,3751749,PASSENGER VEHICLE,,,,,10002
15,13512,32,36,2,BROOKLYN,Unsafe Lane Changing,Unspecified,,,,2116      AVENUE P                      ,2017-09-15T00:00:00.000,40.61105,POINT (-73.95233 40.61105),,,,,-73.95233,0,0,0,0,0,0,0,0,,,8:00,3751752,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11229
2,11275,29,30,5,BRONX,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.89042,POINT (-73.855644 40.89042),,,,,-73.855644,0,0,0,0,0,0,0,0,EAST 230 STREET,BARNES AVENUE                   ,6:53,3750614,SPORT UTILITY / STATION WAGON,,,,,10466
15,13512,32,36,2,,Driver Inattention/Distraction,,,,,,2017-09-15T00:00:00.000,40.608383,POINT (-73.95917 40.608383),,,,,-73.95917,0,0,0,0,1,0,1,0,,KINGS HIGHWAY                   ,9:25,3751765,PASSENGER VEHICLE,,,,,
15,13512,32,36,2,BROOKLYN,Unspecified,,,,,2415      QUENTIN ROAD                  ,2017-09-15T00:00:00.000,40.60926,POINT (-73.94914 40.60926),,,,,-73.94914,0,0,0,0,0,0,0,0,,,12:45,3751768,SPORT UTILITY / STATION WAGON,,,,,11229
15,13512,32,36,2,BROOKLYN,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.60227,POINT (-73.946106 40.60227),,,,,-73.946106,1,0,0,0,0,0,1,0,EAST 26 STREET,AVENUE T                        ,14:50,3751770,PASSENGER VEHICLE,BICYCLE,,,,11229
15,13512,32,36,2,BROOKLYN,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,2313      EAST 19 STREET                ,2017-09-15T00:00:00.000,40.59424,POINT (-73.95165 40.59424),,,,,-73.95165,1,0,0,0,0,0,1,0,,,14:51,3751772,BICYCLE,PASSENGER VEHICLE,,,,11229
45,18183,32,36,2,BROOKLYN,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,70        AVENUE U                      ,2017-09-15T00:00:00.000,40.59602,POINT (-73.98184 40.59602),,,,,-73.98184,0,0,0,0,0,0,0,0,,,19:20,3751781,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11223
15,13512,32,36,2,BROOKLYN,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.599598,POINT (-73.949455 40.599598),,,,,-73.949455,0,0,1,0,0,0,1,0,EAST 22 STREET,AVENUE U                        ,6:50,3751785,,,,,,11229
33,14787,53,66,3,QUEENS,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,,2017-09-15T00:00:00.000,40.73725,POINT (-73.91799 40.73725),,,,,-73.91799,0,0,1,0,0,0,1,0,50 AVENUE,48 STREET                       ,17:30,3751800,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,11377
22,10935,35,31,5,BRONX,Oversized Vehicle,Unspecified,,,,4109      3 AVENUE                      ,2017-09-15T00:00:00.000,40.844494,POINT (-73.89729 40.844494),,,,,-73.89729,0,0,0,0,0,0,0,0,,,14:25,3751805,PASSENGER VEHICLE,,,,,10457
4,16862,39,72,3,,Backing Unsafely,Unspecified,,,,,2017-09-15T00:00:00.000,40.77486,POINT (-73.90891 40.77486),,,,,-73.90891,0,0,0,0,0,0,0,0,,35 STREET                       ,10:30,3750715,TAXI,SPORT UTILITY / STATION WAGON,,,,
35,10930,50,27,5,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.83533,POINT (-73.927 40.83533),,,,,-73.927,0,0,0,0,0,0,0,0,,NELSON AVENUE                   ,14:51,3751829,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
39,13091,47,21,4,MANHATTAN,Backing Unsafely,Unspecified,,,,,2017-09-15T00:00:00.000,40.846622,POINT (-73.93732 40.846622),,,,,-73.93732,0,0,0,0,0,0,0,0,WADSWORTH AVENUE,WEST 176 STREET                 ,12:20,3751863,PASSENGER VEHICLE,,,,,10033
32,11727,56,1,4,MANHATTAN,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.707966,POINT (-74.013596 40.707966),,,,,-74.013596,0,0,0,0,0,0,0,0,RECTOR STREET,GREENWICH STREET                ,11:34,3751868,SPORT UTILITY / STATION WAGON,,,,,10006
9,10700,30,75,1,,Driver Inattention/Distraction,Unspecified,Unspecified,,,,2017-09-15T00:00:00.000,40.570877,POINT (-74.16984 40.570877),,,,,-74.16984,0,0,1,0,0,0,1,0,FOREST HILL ROAD,RICHMOND AVENUE                 ,0:00,3751872,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
41,24017,46,60,3,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.692627,POINT (-73.85724 40.692627),,,,,-73.85724,0,0,0,0,0,0,0,0,JAMAICA AVENUE,87 STREET                       ,15:00,3751875,SPORT UTILITY / STATION WAGON,,,,,
,,,,,,Turning Improperly,Turning Improperly,,,,,2017-09-15T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,hugh l carey tunnel,west street                     ,12:50,3751884,SPORT UTILITY / STATION WAGON,,,,,
32,12076,57,1,4,MANHATTAN,Unsafe Speed,Driver Inattention/Distraction,,,,,2017-09-15T00:00:00.000,40.72218,POINT (-74.00066 40.72218),,,,,-74.00066,0,0,0,0,0,0,0,0,MERCER STREET,BROOME STREET                   ,19:32,3751895,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,10013
32,12076,56,1,4,MANHATTAN,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,,2017-09-15T00:00:00.000,40.722584,POINT (-74.00636 40.722584),,,,,-74.00636,0,0,0,0,0,0,0,0,VARICK STREET,CANAL STREET                    ,22:15,3751911,PASSENGER VEHICLE,,,,,10013
,,,,,,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,,2017-09-15T00:00:00.000,,,,,,,,0,0,1,0,0,0,1,0,STATEN ISLAND EXPRESSWAY,GOETHALS ROAD NORTH             ,19:00,3751950,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
47,20529,51,59,3,QUEENS,Driver Inattention/Distraction,Unspecified,,,,14-01     CENTRAL AVENUE                ,2017-09-15T00:00:00.000,40.606426,POINT (-73.75046 40.606426),,,,,-73.75046,0,0,0,0,0,0,0,0,,,9:05,3751972,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11691
6,24670,41,61,3,,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,,2017-09-15T00:00:00.000,40.70049,POINT (-73.80772 40.70049),,,,,-73.80772,0,0,0,0,0,0,0,0,,SUTPHIN BOULEVARD               ,7:30,3751979,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
6,24668,41,61,3,QUEENS,Unspecified,,,,,107-25    WREN PLACE                    ,2017-09-15T00:00:00.000,40.700577,POINT (-73.78222 40.700577),,,,,-73.78222,0,0,2,0,0,0,2,0,,,8:50,3751994,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11433
31,11611,58,26,5,,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.828,POINT (-73.84701 40.828),,,,,-73.84701,0,0,1,0,0,0,1,0,HAVEMEYER AVENUE,BRUCKNER BOULEVARD              ,2:30,3752023,SPORT UTILITY / STATION WAGON,,,,,
,,,,,,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,CROSS BRONX EXPWY SERVICE ROAD,NOBLE AVENUE                    ,10:00,3752027,PASSENGER VEHICLE,,,,,
13,10697,4,74,1,STATEN ISLAND,Backing Unsafely,Unspecified,,,,117       ROE STREET                    ,2017-09-15T00:00:00.000,40.631115,POINT (-74.121506 40.631115),,,,,-74.121506,0,0,0,0,0,0,0,0,,,20:30,3752030,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10310
31,11610,58,26,5,BRONX,Unsafe Lane Changing,Unspecified,,,,1010      SOUND VIEW AVENUE             ,2017-09-15T00:00:00.000,40.82531,POINT (-73.87025 40.82531),,,,,-73.87025,0,0,0,0,0,0,0,0,,,16:00,3752062,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10472
,,,,,QUEENS,Following Too Closely,Unspecified,,,,44-04     31st Ave                      ,2017-09-15T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,,,12:28,3752072,BICYCLE,PASSENGER VEHICLE,,,,11103
37,17214,45,47,2,BROOKLYN,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.675735,POINT (-73.89686 40.675735),,,,,-73.89686,0,0,0,0,0,0,0,0,ATLANTIC AVENUE,PENNSYLVANIA AVENUE             ,17:15,3752080,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11207
25,17214,45,47,2,,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.658577,POINT (-73.89063 40.658577),,,,,-73.89063,0,0,0,0,0,0,0,0,,PENNSYLVANIA AVENUE             ,19:30,3752089,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
37,17215,45,47,2,BROOKLYN,Unspecified,,,,,3455      FULTON STREET                 ,2017-09-15T00:00:00.000,40.68481,POINT (-73.86816 40.68481),,,,,-73.86816,0,0,0,0,1,0,1,0,,,17:06,3752094,PASSENGER VEHICLE,,,,,11208
37,17215,45,47,2,,Other Vehicular,,,,,,2017-09-15T00:00:00.000,40.678844,POINT (-73.86609 40.678844),,,,,-73.86609,0,0,0,0,0,0,0,0,GRANT AVENUE,LIBERTY AVENUE                  ,14:45,3752098,PASSENGER VEHICLE,,,,,
37,17215,45,47,2,BROOKLYN,Backing Unsafely,Unspecified,,,,784       JAMAICA AVENUE                ,2017-09-15T00:00:00.000,40.68845,POINT (-73.87593 40.68845),,,,,-73.87593,0,0,0,0,0,0,0,0,,,22:25,3752101,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11208
36,13095,18,20,4,MANHATTAN,Unspecified,,,,,2114      5 AVENUE                      ,2017-09-15T00:00:00.000,40.80936,POINT (-73.94013 40.80936),,,,,-73.94013,0,0,0,0,1,0,1,0,,,13:00,3752134,SPORT UTILITY / STATION WAGON,,,,,10035
26,13825,5,38,2,BROOKLYN,Unspecified,,,,,2064      SCHENECTADY AVENUE            ,2017-09-15T00:00:00.000,40.62179,POINT (-73.93013 40.62179),,,,,-73.93013,0,0,0,0,0,0,0,0,,,23:10,3752156,PASSENGER VEHICLE,,,,,11234
19,12422,20,15,4,MANHATTAN,Driver Inattention/Distraction,,,,,,2017-09-15T00:00:00.000,40.793377,POINT (-73.97086 40.793377),,,,,-73.97086,0,0,0,0,1,0,1,0,WEST 95 STREET,AMSTERDAM AVENUE                ,12:41,3752187,,,,,,10025
10,12074,57,3,4,,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.738552,POINT (-73.99969 40.738552),,,,,-73.99969,0,0,0,0,0,0,0,0,,7 AVENUE                        ,18:02,3752205,PASSENGER VEHICLE,MOTORCYCLE,,,,
27,17617,14,50,2,BROOKLYN,Unspecified,,,,,319       9 STREET                      ,2017-09-15T00:00:00.000,40.668884,POINT (-73.9857 40.668884),,,,,-73.9857,0,0,0,0,0,0,0,0,,,13:30,3752219,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11215
27,17617,14,50,2,BROOKLYN,Unspecified,,,,,530       11 STREET                     ,2017-09-15T00:00:00.000,40.66511,POINT (-73.981415 40.66511),,,,,-73.981415,0,0,0,0,0,0,0,0,,,14:30,3752228,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11215
51,12419,11,10,4,,Other Vehicular,Other Vehicular,,,,EAST 51 STREET                          ,2017-09-15T00:00:00.000,40.75781,POINT (-73.97353 40.75781),,,,,-73.97353,0,0,0,0,0,0,0,0,,,0:00,3752231,TAXI,PASSENGER VEHICLE,,,,
1,12425,23,11,4,MANHATTAN,Driver Inattention/Distraction,,,,,,2017-09-15T00:00:00.000,40.777874,POINT (-73.95175 40.777874),,,,,-73.95175,0,0,0,0,1,0,1,0,2 AVENUE,EAST 86 STREET                  ,18:00,3752267,PASSENGER VEHICLE,,,,,10028
1,12083,23,11,4,MANHATTAN,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.76912,POINT (-73.95505 40.76912),,,,,-73.95505,0,0,0,0,0,0,0,0,EAST 74 STREET,1 AVENUE                        ,20:20,3752280,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,10021
,,,,,,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.747272,POINT (-73.96673 40.747272),,,,,-73.96673,0,0,0,0,0,0,0,0,,,7:15,3750801,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
21,14510,66,68,3,,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.749504,POINT (-73.862686 40.749504),,,,,-73.862686,0,0,0,0,0,0,0,0,,ROOSEVELT AVENUE                ,17:30,3752287,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
